date,product_id,product_name,item_name,brand,category,price,quantity,revenue
2023-09-01,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,4,100
2023-11-10,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-05-17,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,3,45
2023-05-30,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,3,12
2023-11-08,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-01-03,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,2,36
2023-10-20,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-12-06,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-11-21,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-09-09,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,2,10
2023-06-08,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-06-02,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-03-09,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,4,40
2023-07-23,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,2,10
2023-02-10,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-10-09,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,3,54
2023-04-20,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,2,36
2023-12-29,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,6,54
2023-05-25,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-11-01,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-07-31,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-06-04,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,2,50
2023-01-06,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-03-30,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,3,12
2023-10-06,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,4,36
2023-07-28,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-12-10,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,3,45
2023-08-03,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-03-03,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,4,20
2023-06-14,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,4,32
2023-05-24,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,2,80
2023-10-30,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-05-05,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-04-16,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,2,50
2023-03-13,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-11-09,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-06-09,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-12-14,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,5,200
2023-11-27,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,4,200
2023-11-21,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-05-03,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-08-03,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,2,40
2023-08-12,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-04-15,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-02-02,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,2,50
2023-01-04,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-03-20,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,3,54
2023-10-31,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-12-04,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-09-07,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,2,10
2023-09-12,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,2,8
2023-02-06,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-05-06,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,3,45
2023-09-12,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-01-09,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,3,105
2023-10-17,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-04-22,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,1,9
2023-07-25,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-02-06,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-01-20,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-05-15,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,3,24
2023-09-06,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-05-25,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,4,160
2023-11-08,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-11-06,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-03-06,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,4,100
2023-06-22,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,5,50
2023-05-08,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,2,30
2023-10-15,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-06-09,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-07-17,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-10-16,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-02-06,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,2,36
2023-03-01,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-01-30,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,5,125
2023-03-29,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-02-19,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-11-24,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,4,20
2023-01-05,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-11-12,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,2,36
2023-04-11,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-06-08,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,4,60
2023-01-15,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,5,250
2023-01-09,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-12-21,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-08-07,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,3,24
2023-01-27,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-07-02,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,5,125
2023-10-25,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,5,90
2023-10-10,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,5,40
2023-02-01,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-01-17,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-06-21,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-07-21,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-05-18,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-06-30,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-07-05,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-06-24,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,2,50
2023-08-04,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-10-29,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-02-27,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,3,120
2023-09-13,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,3,150
2023-09-24,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-09-26,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-06-28,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-08-13,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,4,20
2023-11-04,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-12-03,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,3,150
2023-11-29,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,4,60
2023-12-20,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-09-05,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,1,9
2023-04-08,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-05-07,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-01-10,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-09-10,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,3,30
2023-07-27,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-12-13,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-08-08,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-05-07,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-12-14,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-11-20,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-09-01,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-02-13,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,3,30
2023-07-19,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,4,140
2023-01-17,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,3,105
2023-09-06,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-07-05,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-10-08,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-08-02,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-02-14,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-07-24,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-12-30,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,5,200
2023-02-06,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-09-16,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,3,12
2023-05-11,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,4,160
2023-04-19,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-04-16,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,3,15
2023-05-27,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,2,36
2023-08-05,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-09-14,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,4,100
2023-11-10,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-07-29,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,3,150
2023-05-09,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-03-24,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-05-11,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,3,45
2023-07-01,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-08-09,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-10-27,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-02-16,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-09-16,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-07-28,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,2,40
2023-06-06,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-04-27,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,3,30
2023-06-13,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,4,200
2023-02-21,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,4,40
2023-11-25,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-09-07,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-08-08,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-11-05,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-12-11,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,4,40
2023-08-08,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-09-28,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-03-26,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-06-03,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,3,30
2023-10-02,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,4,72
2023-11-23,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,4,40
2023-02-05,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,3,120
2023-03-10,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-10-22,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-11-30,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-11-21,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,4,16
2023-12-21,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-05-28,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,5,125
2023-10-28,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-03-12,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-06-29,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,3,54
2023-07-23,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,5,75
